视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=w0X6D_4DUd8,27:36,探索 - 体验新事物,1,How should you store food in the wild to avoid bears? ,通用知识推理,Hang it in a tree.,视频中Elsa说食物挂在树上即使熊被气味引来了看到没东西也会走掉，因此在野外为了躲避熊，食物应该挂在树上。,模型需要定位他们把包挂上树的片段，根据Elsa的介绍可知把食物挂上树是为了躲避熊。,,,,,,,,,,
,,,,2,Is Elsa someone who likes to record her daily life in words? ,"多线索推理,人物属性建模",Yes.,,模型需要定位多个片段，例如Elsa写日记的画面以及日记本的画面，可以看到Elsa每天都有写日记，因此她是个喜欢用文字记录日常生活的人。,,,,,,,,,,
,,,,3,What can people use to make homemade energy bars thicker? ,通用知识推理,"Maple syrup, almond butter, water.",Elsa向我们介绍怎么自制能量棒的时候第一次粘稠度不够，于是她加了枫糖糖浆、杏仁酱，第二次又加了水，由此可知自制能量棒可以用枫糖糖浆、杏仁酱、水增加黏稠度。,模型需要定位Elsa自制能量棒的片段，根据片段中Elsa为了增加粘稠度加入的东西得出结论。,,,,,,,,,,
,,,,4,How many shelters did they stay in? ,多线索推理,Three.,,模型需要定位多个片段，识别画面中不同的庇护所并做出统计，可以看到他们一共住了三个庇护所。,,,,,,,,,,
,,,,5,Does Elsa run regularly? ,人物属性建模,Yes.,,模型需要定位Elsa说自己从来没有体会过“runner’s high”，但是这次她体会到了“hiker’s high”，说明她平时总会跑步，但是没体会过“runner’s high”的感觉。,,,,,,,,,,
2,https://www.youtube.com/watch?v=sfg-RmuMiq0,20:09,探索 - 体验新事物,1,Is it possible to encounter bears on the red rock trail? ,通用知识推理,Yes.,视频画面中可以看到在red rock trail刚开始的时候就贴着“Be Bear Aware”的标识，由此可知在red rock trail有可能遇到熊。,模型需要定位Mahogany刚开始徒步的片段，根据片段画面中的标识可以知道在red rock trail有可能遇到熊。,,,,,,,,,,
,,,,2,Is Mahogany adventurous or cautious when making decisions? ,人物属性建模,Cautious.,,模型需要定位Mahogany和朋友返程的片段，片段中她们有两个选择，要么跨过溪流返回要么原路返回，她们选择了原路返回，因为跨过溪流有滑倒的可能性，而她还拿着手机和相机，因此选择原路返回，可以看出Mahogany做选择是谨慎的。,,,,,,,,,,
,,,,3,What kind of shoes should you wear when you go hiking after snowing to avoid slipping? ,通用知识推理,Spikes.,视频中Mahogany和朋友在犹豫要不要跨溪流的时候有两个人向他们示范，根据Mahogany的描述，那两个人穿的鞋子带钉子，因此可推测下过雪后去徒步为了不滑倒应该穿钉鞋。,模型需要定位Mahogany和朋友在犹豫要不要跨溪流的片段，根据Mahogany对路人装备的描述可知那两人穿着钉鞋，很轻松就跨过了溪流，因此可推测下过雪后去徒步为了不滑倒应该穿钉鞋。,,,,,,,,,,
,,,,4,Is Mahogany an experienced hiker? ,人物属性建模,No.,,模型需要定位视频开头，Mahogany说这是她第一次徒步，因此她不可能是有经验的hiker。,,,,,,,,,,
,,,,5,Is Mahogany a student? ,人物属性建模,Yes.,,模型需要定位视频最后，片段中Mahogany说自己回到学校了，由此判断她是个学生。,,,,,,,,,,
3,https://www.youtube.com/watch?v=ajbooXnvsE8,31:14,探索 - 体验新事物,1,Which city do Safiya's parents live in? ,人物属性建模,Chicago.,,根据Safiya的介绍，California Zephyr火车是从旧金山开往芝加哥的，Safiya说这趟旅程顺便可以拜访一下自己父母，因此可推测Safiya父母住在芝加哥。,,,,,,,,,,
,,,,2,Which lounge do you go to for the best views on the California Zephyr train? ,"多模态/多语言推理,通用知识推理",The Sightseer Lounge.,视频中Safiya说California Zephyr火车上有专门看风景的车厢，根据画面中的文字可知这个车厢叫做Sightseer Lounge，由此可知在California Zephyr火车上如果想更好地欣赏风景，可以去Sightseer Lounge。,模型需要定位Safiya介绍California Zephyr火车的片段，根据片段中的介绍可知火车上有专门看风景的地方，根据视觉看到画面上显示的是Sightseer Lounge，因此Sightseer Lounge是专门看风景的车厢。,,,,,,,,,,
,,,,3,What is the relationship between Safiya and Tyler? ,人物属性建模,Husband and wife.,,模型需要定位到Safiya提到她和Tyler已经结婚的片段，可知两人是夫妻。,,,,,,,,,,
,,,,4,Where did Safiya and Tyler go after getting off the train at Grand Junction?,多跳推理,A convenience store.,,模型需要首先定位火车停靠Grand Junction站的片段，再根据之后的画面分析两人去了哪里，可以从画面中看到他们去了便利店。,,,,,,,,,,
,,,,5,What kind of store is ACME? ,"多模态/多语言推理,通用知识推理",A dessert shop.,视频中Safiya在ACME门口停下，问Tyler想不想吃芝士蛋糕，再根据画面中ACME店内摆的东西是一些甜品，可推测ACME是一家甜品店。,模型需要定位他们在丹佛的片段，根据听觉听到Safiya问Tyler想不想吃芝士蛋糕，再根据视觉看到画面中Safiya停在ACME门口以及ACME店内的画面可知ACME是一家甜品店。,,,,,,,,,,
4,https://www.youtube.com/watch?v=DcQirGief28,35:34,探索 - 体验新事物,1,How many times have Kara and Nate been to Saudi Arabia? ,人物属性建模,Second time.,,模型需要定位Nate提到他们上次来沙特是在2016年，因此可知这是他们第二次来沙特阿拉伯。,,,,,,,,,,
,,,,2,What is the last mode of transportation before going to the overwater villas? ,多跳推理,Boat.,,模型需要首先定位Kara and Nate到达overwater villas的片段，再根据该片段之前乘坐的交通工具得出结论，可以看到他们是坐船到达overwater villas的。,,,,,,,,,,
,,,,3,What can people use to supplement their nutrition in the absence of nutrients in the wild?,通用知识推理,AG1.,视频中Kara说自己在旅游过程中总是缺乏营养摄入，所以她会额外喝AG1，由此可知AG1可以用来补充营养。,模型需要定位Kara介绍AG1的片段，根据片段中的话可知AG1富含多种维生素和营养，因此在野外获取的营养不够可以用AG1补充。,,,,,,,,,,
,,,,4,Can people eat food from different countries in the overwater villas? ,通用知识推理,Yes.,视频中Kara and Nate在overwater villas分别吃了意大利菜、日本菜等等，由此可知overwater villas提供不同国家的菜系。,模型需要定位多个片段，Kara and Nate在overwater villas吃到了意大利菜、日本菜等等，因此在overwater villas可以吃到不同国家的菜。,,,,,,,,,,
,,,,5,Can Kara and Nate use chopsticks? ,人物属性建模,Yes.,,模型需要定位Kara and Nate吃日本菜的片段，片段中Kara and Nate吃面用的是筷子，由此可知Kara and Nate会使用筷子。,,,,,,,,,,
5,https://www.youtube.com/watch?v=PK6G7wr-SA0,23:28,测评 - 工具/机械,1,What is Greg's occupation?,"多线索推理,人物属性建模",Bicycle craftsman.,,模型需要定位到Greg的相关片段，他介绍自己制造老式自行车，并提到“this is where we build old-fashioned bikes”，结合他指导用户骑行并强调“you break it you bought it”，可推断他是一名专业自行车工匠,,,,,,,,,,
,,,,2,Is Eric a person with strong endurance?,"多线索推理,人物属性建模",Yes.,,模型需要定位到Eric的相关片段，他多次抱怨载具不舒适（如Draisine的“worst invention”），但仍坚持完成所有体验，甚至因战斗机剧烈运动呕吐后仍继续拍摄，证明Eric是个拥有很强耐力的人,,,,,,,,,,
,,,,3,Which vehicle does Eric test before the Hennessey Venom F5 supercar?,多跳推理,Husky Racing Yachts.,,模型需要定位到关于Hennessey Venom F5超跑的相关片段，在定位到关于Husky竞速快艇的片段。,,,,,,,,,,
,,,,4,Why is the Draisine initially unpopular?,"多线索推理,通用知识推理",Because it is uncomfortable and impractical.,视频中用户骑行Draisine时多次抱怨“this is the worst invention”和“so uncomfortable”，Greg也提到它曾是“rich person's novelty”，说明其设计缺陷（如无减震）导致实用性低，仅作为富人玩物，故可推理得出结论。,模型需要定位到Draisine的相关片段，得知视频中用户骑行Draisine时多次抱怨“this is the worst invention”和“so uncomfortable”，Greg也提到它曾是“rich person's novelty”，说明其设计缺陷（如无减震）导致实用性低，故推理得出结论。,,,,,,,,,,
,,,,5,Can the rocket sled be used at will?,通用知识推理,No.,"视频提到火箭雪橇“用于测试军事装备”（“they use it to test military equipment”），并需军方许可才能接近，结合其超高速（6,453 mph）特性，推断其设计初衷为模拟极端环境下的武器或装备测试，所以不能随意使用火箭雪橇。",模型需要定位到视频中关于火箭雪橇的相关片段，根据语言信息得知其用于测试军事装备，并需军方许可才能接近，结合其超高速特性，推断其设计初衷为模拟极端环境下的武器或装备测试，所以不能随意使用火箭雪橇。,,,,,,,,,,
6,https://www.youtube.com/watch?v=h5Zwg3Ag-bE,28:17,测评 - 其他,1,What is the relationship between Bob Flagerfeld and Rod Stewart?,人物属性建模,Bob Flagerfeld is a fan of Rod Stewart.,,模型需要定位到两人的相关片段，根据语言信息得知Bob Flagerfeld是Rod Stewart金曲集的铁粉，尤其喜欢第九首歌，所以得出结论“Bob Flagerfeld is a fan of Rod Stewart”。,,,,,,,,,,
,,,,2,Do Bob and Mehdi have a good relationship?,"多线索推理,人物属性建模",No.,,模型需要定位到两人的相关片段，他们多次互相嘲讽（如鲍勃说“你别电着自己就行”，迈赫迪回击“你死定了”），并强调这是“垃圾话对决”，由此推理出他们关系并不好。,,,,,,,,,,
,,,,3,"Before crystal lamp, what is the subject of the experiment?",多跳推理,Lithium battery.,,模型需要定位到水晶灯作为实验对象的相关片段，然后在定位到锂电池作为实验对象得相关片段。,,,,,,,,,,
,,,,4,"Which is more destructive, lightning or lasers?","多线索推理,通用知识推理",Lightning.,根据得分，闪电比激光得分高，得出应该是闪电破坏力更强。,模型需要定位到闪电和激光的对比，根据最后比分得知闪电的破坏力更强。,,,,,,,,,,
,,,,5,Can lasers effectively melt ice?,通用知识推理,No.,视频中解释冰的透明性使激光穿透而非吸收，导致热量无法积累，所以可以推理得出结论，激光不能有效地溶解冰。,模型需要定位到关于激光融化冰的相关片段，根据语言得知冰的透明性使激光穿透而非吸收，导致热量无法积累，所以可以推理得出结论，激光不能有效地溶解冰。,,,,,,,,,,
7,https://www.youtube.com/watch?v=JdFRjsEZrmU,20:36,测评 - 其他,1,What is the relationship between Kevin and Nigel?,人物属性建模,They are competitors.,,"模型需要定位到视频中二人的相关片段，Mark以""邀请""形式召集两人对决，所以得知他们是竞争者。",,,,,,,,,,
,,,,2,What is Mark Rober's occupation?,"多线索推理,人物属性建模",Game designer.,,模型需要定位到Mark的相关片段，得知他开发罗布乐思游戏《火箭制造者》长达一年，并参与游戏机制设计，表明其游戏设计师身份。,,,,,,,,,,
,,,,3,How many rounds does the wildcard win?,多线索推理,Four rounds.,,模型需要定位到视频中wildcard选手的相关片段，得知他在平板电脑、冰板、棒球棍和钻石四轮中通过暴力物理破坏（如激光、铁砧）超越岩浆/酸的表现，所以得出结论是Four rounds。,,,,,,,,,,
,,,,4,Can plastic toys be broken down by acid?,通用知识推理,No.,"视频中指出塑料玩具因""高分子聚合物化学结构稳定""难以被酸分解，所以推理得出塑料玩具不能被酸分解。","模型需要定位到分解塑料玩具的相关片段，根据语言信息得知塑料玩具因""高分子聚合物化学结构稳定""难以被酸分解，所以推理得出塑料玩具不能被酸分解。",,,,,,,,,,
,,,,5,"Which is more destructive, magma or acid?",通用知识推理,Magma.,视频中的测试过程中得知岩浆在高温即时破坏上更有效，酸在特定化学反应中有优势，但整体岩浆胜出，所以可推理出岩浆更具破坏性。,模型需要定位到视频中岩浆和酸在测试中的相关片段，在测试过程中得知岩浆在高温即时破坏上更有效，酸在特定化学反应中有优势，但整体岩浆胜出，所以可推理出岩浆更具破坏性。,,,,,,,,,,
8,https://www.youtube.com/watch?v=kcB_HD_-6J8,42:46,纪录片 - 自然,1,What is a special type of fishing called in Sri Lanka?,通用知识推理,Stilt Fishing.,Dominic在斯里兰卡的一片海滩上介绍旁边正在竖着的杆子上钓鱼的人时说这是斯里兰卡的一种特殊钓鱼方式，叫做高跷钓鱼。,模型需定位到Dominic在斯里兰卡的一片海滩上介绍旁边正在竖着的杆子上钓鱼的人时，说这是斯里兰卡的一种特殊钓鱼方式，叫做高跷钓鱼。,,,,,,,,,,
,,,,2,"Why did tea, which originated in China, come to Sri Lanka?",通用知识推理,"Because Britain brought tea to its colony, Sri Lanka.",Dominic在开车前往茶园的时候介绍斯里兰卡是世界上主要的茶叶出口国，斯里兰卡在1948年是英国的殖民地，茶叶也由英国从中国带往斯里兰卡。,模型需定位到Dominic在开车前往茶园的时候介绍斯里兰卡是世界上主要的茶叶出口国，斯里兰卡在1948年是英国的殖民地，茶叶也由英国从中国带往斯里兰卡。,,,,,,,,,,
,,,,3,Is Dominic a bold man?,人物属性建模,Yes.,,模型需定位到视频全程，Dominic敢徒手抓眼镜蛇和蜥蜴等具有攻击性和毒性的野生动物，因此可以看出Dominic是一个胆量很大的人。,,,,,,,,,,
,,,,4,What animal is Vimu Wonga well versed in?,人物属性建模,Cobra.,,模型需定位到视频后期Dominic去拜访的一位专家Vimu Wonga，在介绍这位专家时说他是眼镜蛇专家，对眼镜蛇的研究非常深入，在斯里兰卡当地，人们遇到眼镜蛇都会找Vimu Wonga去帮忙。,,,,,,,,,,
,,,,5,What is the commom head movement that people in Sri Lanka make when they speak?,"多模态/多语言推理,通用知识推理",Headshake.,Dominic在斯里兰卡买当地食物时，摊主在听了Dominic的购买要求后说可以但是却在摇头，Dominic介绍说在斯里兰卡有一个有趣的现象是大家不论说什么都会有一个摇头的动作。,模型需定位到Dominic在斯里兰卡买当地食物时，摊主在听了Dominic的购买要求后说可以但是却在摇头，Dominic介绍说在斯里兰卡有一个有趣的现象是大家不论说什么都会有一个摇头的动作。,,,,,,,,,,
,,,,6,What is Dominic's favorite tea?,人物属性建模,Ceylon Tea.,,模型需定位到Dominic在茶园喝茶时，他分别品尝了三杯茶，他说他最喜欢最后一杯兰茶。,,,,,,,,,,
9,https://www.youtube.com/watch?v=x6uH9nkLIPA,20:41,探索 - 参观,1,Is Nour a successful entrepreneur?,"多线索推理,人物属性建模",Yes,,整个视频出现了Nour的房子，资产和企业，还提到了他如何管理企业，如何工作，它有许多个企业，而且他才23岁，都体现了他是一位成功企业家。,,,,,,,,,,
,,,,2,What Nour drinks every day?,"多跳推理,人物属性建模",The drink that is alcohol-free.,,"视频里博主在参观Nour家的豪宅时，说到在这喝一杯可真不错，Nour回答说“I don't drink”,让博主感到十分诧异，夸赞他是个good man,可推断出Nour每天只喝无酒精的东西。",,,,,,,,,,
,,,,3,"If people want to manage their finances, which app can they use？","多模态/多语言推理,通用知识推理",The Stripe.,在博主请求Nour展示下他的账户时，他拿出手机打开了stripe软件，上面有着他这个月的花销详情，并且nour也说到“It's a peocessor machine.”，由此可知stripe是一个理财软件。,模型需定位到finance片段，根据Nour的手机显示画面及语言信息，可知stripe是一个理财软件。,,,,,,,,,,
,,,,4,What is the most important thing entering the trade business?,"多跳推理,通用知识推理","Don't skip education, keeping studying.",视频中作者让Nour给其他想做贸易的人给予经验，其中提到了最重要的就是在互联网时代人们急着挣钱而忽视了做重要的教育学习部分，因此推断出不管做什么学习都是最重要的。,视频里Nour给的最大的建议就是不要跳过教学习而想直接去挣到钱。,,,,,,,,,,
,,,,5,What is Nour's biggest piece of advice?,"多线索推理,多模态/多语言推理",Execution,,Nour在对想要成功的人的建议里提到了很多条，但是综合起来都是需要具有执行力，想做一件事必须要行动起来。,,,,,,,,,,
10,https://www.youtube.com/watch?v=LaHXAamLglA,25:40,vlog - 工作,1,What drink does Shaun always drink early in the morning?,"多线索推理,人物属性建模",Rockstar Energy Drink.,,模型可以抓取到多次Shaun打开这个饮料，时间都是在正式工作开始之前。,,,,,,,,,,
,,,,2,What is Shaun's routine after work?,"多线索推理,人物属性建模",Workout at the gym.,,模型可以抓取到Shaun在下班后在车里提到要去健身房。,,,,,,,,,,
,,,,3,What are the two qualities should the doctor's notes have?,通用知识推理,Updated and accurate.,Shaun提到他因为时间匆忙在写病历的时候犯的错误，其中是保留了之前的内容，因此可得知病历只需要最新的内容；其次他提到病历是后续其他医生治疗病人的依据，因此必须保证期准确性，由此得出病例必须具备的两个特性。,模型可以从shaun讲述他在写病历时犯得错误里分析出这两个要点。,,,,,,,,,,
,,,,4,On which day of the week did Shaun have most surgeries?,多线索推理,Tuesday.,,模型可以抓取每天Shaun的工作安排，通过对比得出结论。,,,,,,,,,,
,,,,5,How do resident physicians in the Southern Hill Hospital&Medical Center enter their office?,"多跳推理,通用知识推理",Swipe the access card.,博主介绍自己是一名resident doctor，每当他去工作时，镜头总会出现一家叫the Southern Hill Hospital&Medical Center的医院，可知博主就是这家医院的医生，每当他进入办公室时，都要刷卡进入，得出答案,博主介绍自己是一名resident doctor，每当他去工作时，镜头总会出现一家叫the Southern Hill Hospital&Medical Center的医院，可知博主就是这家医院的医生，每当他进入办公室时，都要刷卡进入，模型需掌握以上信息，整合多次博主进入办公室的画面，得出答案,,,,,,,,,,
11,https://www.youtube.com/watch?v=pgk-719mTxM,38:34,教学 - 课堂互动,1,In which country is the Leadership Public School located?,"多模态/多语言推理,通用知识推理",America,字幕和老师都有介绍这是在Richmond的一所学校，但在很多国家都有叫Richmond的城市，但老师在介绍自己工作、求学经历的时候提到的基本都是美国地名，并且屋子里的人操着一口标准美音，墙后还挂着美国总统画像，推测出是在美国。,字幕和老师都有介绍这是在Richmond的一所学校，但在很多国家都有叫Richmond的城市，但可根据老师的介绍、学生的口音、教室的布置推测出是在美国。,,,,,,,,,,
,,,,2,Is uniform compulsory in Leadership Public School in Richmond?,"多模态/多语言推理,通用知识推理",No,只能说明这个课堂是有专门的衣服，但不强制要求学生穿。,"需要仔细观察教室里所有学生的着装，部分学生穿着一样的衣服，但有的穿着自己的衣服,可见穿校服并不是强制性要求。",,,,,,,,,,
,,,,3,How many students in the classroom are wearing blue tops?,多线索推理,One,,仔细观察教室里所有学生的着装，不要忽略远处被遮挡的学生，注意只是上衣，只有一个人穿着蓝色的衣服。,,,,,,,,,,
,,,,4,Is the teacher Mr. Hester in positive?,人物属性建模,Yes,,这位老师擅长用小游戏调动学生积极性，肢体语言积极，活力满满，是个非常积极向上的人。,,,,,,,,,,
,,,,5,How many people are sitting behind Maria?,多线索推理,Two,,需要在老师介绍学生名字的时候确定谁是玛丽亚，然后捕捉玛丽亚身后有几个人，一共两个。,,,,,,,,,,
,,,,6,Does Mr. Hester have a beard or a moustache?,人物属性建模,Bread,,定位能看清老师全脸的片段，他的胡子是覆盖下巴和脸颊的络腮胡，不是八字胡。,,,,,,,,,,
,,,,7,Did Mr. Hester put all the papers he took from Maria on the floor or on the table?,多跳推理,On the floor,,定位到学生们进行递纸游戏的片段，当所有纸张汇集到玛丽亚这里，这位老师拿过这些纸张后直接放到了地板上。,,,,,,,,,,
,,,,8,Does the binder have red or blue patches on the sides?,多模态/多语言推理,Red,,定位到老师介绍活页夹的片段，这个活页夹整体是白色的，侧边有红色的色块。,,,,,,,,,,
12,https://www.youtube.com/watch?v=prdfejAsrNI&list=PL0LQM0SAx602QkOMqFv7bu4mHZveMPcsp,25:56,探索 - 参观,1,Was there amber in the Baltic Sea during the Fatimid period?,通用知识推理,No,视频中提到，波罗的海的琥珀来自埃及北方，由此可知，波罗的海本地在当时并没有湖泊，只能进口。,模型需定位到解说法蒂玛王朝时期的片段，解说中提到，埃及一直是交通枢纽，从省级城镇的进口商品中都可以看出，比如，波罗的海的琥珀来自埃及北方可知，波罗的海本地在当时并没有，只能进口。,,,,,,,,,,
,,,,2,Had the research on the long-term preservation of paper begun during the Tubo period？,"多模态/多语言推理,通用知识推理",Yes.,视频中提到从藏经洞中发现了许多经文纸张，从视频拍摄的图片可以看出上面的文字还是清晰可见，由此可知，吐蕃时期已经有了对纸张长时期保存的技术的研究和应用。,模型需定位到解说藏经洞的经文的片段，通过观察可以看到经文保存十分完好，结合当时的历史时期可以得知，当时已经有了对纸张保存技术的应用。,,,,,,,,,,
,,,,3,Is Ping shocking and admiring or indifferent  towards the 2.5-meter-high silk embroidery?,人物属性建模,Shocking and admiring.,,模型需定位到介绍2.5米丝绸刺绣的片段，ping的解说中提到，这是当时藏经洞中最壮丽的展品之一，由此可见ping对这件展品十分的震撼与欣赏。,,,,,,,,,,
,,,,4,Does Sue like or dislike the processional cross on display?,"人物属性建模,多模态/多语言推理",She like it,,模型需定位给到sue解说游行十字架的片段，视频中她提到这是一件华丽的展品，是当地繁荣艺术交流的证明，制作材料光泽优美，并且拍摄到她在玻璃前欣赏的画面，通过观察她的神态可以看出很认真，由此可以看出她喜欢这件展品。,,,,,,,,,,
,,,,5,What are the two colors of the water bottles carried by the Bactrian camels on display?,多模态/多语言推理,Green and orange,,模型需定位到介绍中国工匠制成的陶瓷双峰骆驼展品的片段，解说中提到它还携带了中亚风格的水壶，通过拍摄的画面可以看到是绿色和橙色混杂的。,,,,,,,,,,
13,https://www.youtube.com/watch?v=5YnZWiUHBnY,35:36,vlog - 宠物,1,Can Lisa imitate the sound of a cat?,人物属性建模,Yes.,,模型需要定位到Lisa和猫咪互动的视频片段，可以看到她会发出的一些声音与猫咪很像，并且猫咪和Lisa进行互动等等，由此可以推出她是可以模仿猫咪的声音。,,,,,,,,,,
,,,,2,"In Sydney, is Lisa well-known as a pet sitter or not?",人物属性建模,Well-known.,,模型通过分析她对她自己介绍，比如她现在有大约300条评论，她在排名方面占据这个地区的主导地位，可以知道她在宠物寄养照顾方面是出名的。,,,,,,,,,,
,,,,3,What kind of bugs are commonly attracted to cat food?,通用知识推理,Ant.,博主介绍很多人都在面临蚂蚁爬进猫粮的问题，并且给出相应的解决方案，就是把猫粮碗放在一盘水上，可以避免蚂蚁爬进食物的情况，由此可以推出猫粮容易吸引蚂蚁。,模型需要定位到博主分享大家面临的问题-蚂蚁爬进猫粮，并且给出解决方案，可以推出猫粮容易吸引蚂蚁。,,,,,,,,,,
,,,,4,Is being a pet sitter a busy job or a relaxing one during holidays in Sydney?,"多模态/多语言推理,通用知识推理",Busy one.,通过博主的描述以及视频的展示（她列出的每日工作安排），可以看到在节假日是十分忙碌的，甚至没有时间吃早饭。,模型需要分析整个视频片段，分析Lisa的今日工作内容以及未来几天的工作安排，可以推出这份工作在节假日是很忙碌的。,,,,,,,,,,
,,,,5,What color is Willow?,多模态/多语言推理,Brown.,,模型需要找到Willow这个关键词，可以得到Willow是她的宠物狗，通过视觉分析，可以得出Willow是棕色的。,,,,,,,,,,
14,https://www.youtube.com/watch?v=tIwlsS71NKA&list=LL&index=80,20:01,纪录片 - 自然,1,Who are the famillies of George? ,"多线索推理,人物属性建模","His wife Tera, daughter Liv, and son Bodhi.",,模型需要浏览整个视频，Tera和Bodhi很早出现在视频中，但并没有表明他俩的名字与身份，模型需要对几人在多个片段中持续追踪，才能将Tera和Bodhi在家庭中的信息对应上,,,,,,,,,,
,,,,2,"If you come to the Maasai tribe in Africa, what ritual will the  Maasai tribe use to welcome you? ","多线索推理,通用知识推理",A dance and beautiful songs.,在George一家人第一次进入Maasai tribe和外出观看非洲象回程，Maasai tribe的人都用舞蹈和歌声欢迎他们，由此推断，当有人来参观Maasai tribe时，Maasai tribe的人都会用舞蹈和美妙歌声进行欢迎。,模型需要定位到George一家人第一次进入Maasai tribe和外出观看非洲象回程的不同片段，通过两次进入部落Maasai tribe的人都会用舞蹈和歌声进行欢迎推断，Maasai tribe欢迎仪式为舞蹈和歌。,,,,,,,,,,
,,,,3,What is the relationship between Liv and George? ,人物属性建模,Father and daughter.,,模型需要对Liv and George进行持续追踪，通过一路上George对liv的照顾以及liv的称呼，模型可推断两人为父女关系。,,,,,,,,,,
